"LAcalc_SLiM" "LAcalc_1000ind_allmuts" "LAcalc_1000ind_NoMAFmuts" "LAcalc_1000ind_ClinalMuts" "LAcalc_1000ind_ClinalMutsLFMM" "LAcalc_1000ind_NonClinalMuts" "LAcalc_1000ind_RandomMuts_nClinal" "LAcalc_1000ind_RandomMuts_nNonClinal" "LAcalc_1000ind_nClinal" "LAcalc_1000ind_nNonClinal" "seed"
0.512 0.535 0.53 0.515 0.449 0.027 0.215 0.203 30 22 1231396
0.512 0.534 0.53 0.531 0.428 -0.001 0.138 0.268 44 13 1231397
0.507 0.531 0.526 0.513 0.08 -0.008 0.27 0.075 22 6 1231398
0.484 0.527 0.496 0.499 0.418 0.001 0.327 0.295 25 15 1231399
0.484 0.529 0.518 0.514 0.155 0.007 0.328 0.173 35 17 1231400
0.487 0.526 0.519 0.514 0.346 0.008 0.069 0.421 35 22 1231401
0.484 0.528 0.51 0.502 0.429 0.01 0.15 0.392 34 28 1231402
0.472 0.522 0.512 0.502 0.388 0.013 0.218 0.391 24 9 1231403
0.479 0.52 0.508 0.504 0.326 0.005 0.096 0.42 26 15 1231404
0.481 0.529 0.515 0.509 0.321 0.011 0.11 0.489 36 16 1231405
0.488 0.526 0.507 0.505 0.399 0.003 0.13 0.42 32 29 1231406
0.482 0.529 0.522 0.515 0.372 0.013 0.098 0.459 34 32 1231407
0.476 0.521 0.515 0.514 0.364 0.004 0.243 0.376 18 8 1231408
0.511 0.599 0.592 0.434 0.367 0.073 0.116 0.094 33 38 1231409
0.506 0.592 0.527 0.395 0.272 0.094 0.418 0.321 29 38 1231410
0.507 0.601 0.51 0.345 0.412 0.145 0.168 0.284 43 39 1231411
0.504 0.602 0.579 0.43 0.513 0.086 0.208 0.264 49 48 1231412
0.508 0.601 0.585 0.427 0.126 0.119 0.354 0.254 32 35 1231413
0.572 0.629 0.597 0.588 0.361 0.007 0.378 0.455 40 21 1231414
0.571 0.628 0.612 0.598 0.393 0.018 0.243 0.414 43 24 1231415
0.574 0.63 0.579 0.569 0.465 0.016 0.193 0.339 43 33 1231416
0.568 0.622 0.588 0.576 0.453 0.014 0.016 0.453 52 35 1231417
0.569 0.622 0.618 0.603 0.368 0.015 0.47 0.233 36 19 1231418
0.57 0.642 0.632 0.425 0.511 0.126 0.084 0.489 34 35 1231419
0.555 0.638 0.622 0.402 0.448 0.118 0.404 0.434 32 39 1231420
0.572 0.649 0.636 0.427 0.48 0.15 0.078 0.569 43 60 1231421
