"LAcalc_SLiM" "LAcalc_1000ind_allmuts" "LAcalc_1000ind_NoMAFmuts" "LAcalc_1000ind_ClinalMuts" "LAcalc_1000ind_ClinalMutsLFMM" "LAcalc_1000ind_NonClinalMuts" "LAcalc_1000ind_RandomMuts_nClinal" "LAcalc_1000ind_RandomMuts_nNonClinal" "LAcalc_1000ind_nClinal" "LAcalc_1000ind_nNonClinal" "seed"
0.322 0.386 0.363 0.282 0 0.074 0.271 0.106 231 175 1231353
0.406 0.437 0.434 0.397 0 0.055 0.195 0.297 183 279 1231354
0.396 0.428 0.395 0.346 0.035 0.058 0.161 0.213 203 332 1231355
0.409 0.443 0.423 0.37 0.053 0.066 0.137 0.329 273 444 1231356
0.407 0.444 0.417 0.348 0 0.09 0.091 0.34 234 530 1231357
0.401 0.432 0.427 0.398 0 0.035 0.261 0.176 174 154 1231358
0.408 0.455 0.436 0.22 0.116 0.189 0.114 0.308 119 378 1231359
0.416 0.471 0.447 0.238 0.159 0.214 0.135 0.36 116 426 1231360
0.423 0.473 0.446 0.217 0.091 0.231 0.094 0.356 183 570 1231361
0.418 0.473 0.451 0.226 0.141 0.195 0.043 0.409 115 642 1231362
0.399 0.45 0.44 0.189 0.059 0.111 0.127 0.253 113 202 1231363
0.497 0.597 0.545 0.503 0.078 0.049 0.317 0.291 176 202 1231364
0.489 0.599 0.559 0.42 0.085 0.127 0.34 0.247 207 279 1231365
0.489 0.595 0.527 0.411 0.052 0.107 0.251 0.316 278 286 1231366
0.49 0.602 0.563 0.45 0.102 0.107 0.288 0.356 281 296 1231367
0.497 0.594 0.576 0.464 0.026 0.104 0.37 0.189 201 170 1231368
0.561 0.624 0.592 0.546 0 0.065 0.18 0.379 168 172 1231369
0.561 0.621 0.587 0.516 0 0.077 0.29 0.325 159 179 1231370
0.57 0.631 0.567 0.47 0 0.111 0.152 0.376 193 287 1231371
0.564 0.632 0.55 0.501 0 0.11 0.104 0.465 208 280 1231372
0.563 0.626 0.613 0.582 0 0.041 0.349 0.39 162 153 1231373
0.55 0.632 0.599 0.366 0 0.21 0.116 0.481 122 234 1231374
0.56 0.642 0.566 0.293 0.017 0.184 0.136 0.418 115 270 1231375
0.562 0.642 0.595 0.335 0.022 0.234 0.143 0.442 165 363 1231376
0.563 0.647 0.603 0.319 0.036 0.285 0.064 0.562 111 423 1231377
0.547 0.624 0.606 0.434 0.114 0.146 0.154 0.481 90 196 1231378
0.308 0.384 0.345 0.225 0 0.127 0.155 0.183 187 276 1231379
0.317 0.399 0.356 0.194 0.042 0.155 0.202 0.155 244 356 1231380
0.321 0.405 0.365 0.215 0.016 0.142 0.228 0.147 315 342 1231381
0.317 0.402 0.329 0.198 0.008 0.149 0.14 0.193 291 437 1231382
