"seed" "subpopID" "indID" "indSubpopIndex" "subpop" "phen_sal" "phen_temp" "sal_opt" "temp_opt" "fitness" "subset" "N" "opt0" "opt1" "x" "y" "PC1" "PC2" "PC3" "LFMM_U1_temp" "LFMM_U1_sal" "LFMM_U2_temp" "LFMM_U2_sal" "RDA1" "RDA2" "RDA1_corr" "RDA2_corr" "RDA_PC1" "RDA_PC2" "RDA_PC1_corr" "RDA_PC2_corr" "RDA_predict_tempPhen_20KSNPs" "RDA_predict_salPhen_20KSNPs" "RDA_predict_tempPhen_20KSNPs_structcorr" "RDA_predict_salPhen_20KSNPs_structcorr"
"4813" "1231094" 5 94 2 5 0 -0.987807 -0.111111 -1 0.999703 TRUE 46 -0.111111 -1 5 1 83.3598 53.1458 -31.7352 31.3657243604561 58.3799250406177 -14.0027933433322 33.5359970248309 -2.65641154859675 -0.624585174311489 -4.91112014546854 -0.692862839039499 -3.07913575813425 2.40107568028228 -0.293170392684182 5.06715454469168 -2671.73251041678 -14.0092315891938 -29.1175875293772 -6.43661448508417
"4821" "1231094" 5 102 10 5 0 -1.24796 -0.111111 -1 0.884289 TRUE 46 -0.111111 -1 5 1 79.0125 47.2631 -29.1827 27.7059373899025 55.7292994645898 -12.7933829127673 29.7831695576013 -2.53462876729354 0.25854722724672 -4.63394035504789 0.186807279144622 -2.73913847450252 2.25027601460266 -0.374177502160596 3.23368013604523 -2583.64258415965 0.0808615351131285 -27.7281175758089 7.22693330386725
"4824" "1231094" 5 105 13 5 0 -0.805467 -0.111111 -1 0.927107 TRUE 46 -0.111111 -1 5 1 77.6864 46.5222 -25.3817 26.2443044845465 53.8512443300823 -9.4752390365939 28.2672813682945 -2.44519423582557 -1.19554028352914 -3.52566483331472 -1.22032360932731 -2.60280637868999 1.84047741477272 -0.265626340747585 1.90690890234551 -2468.11305045857 -23.1949618520925 -20.9928670099985 -16.4007297002305
"4831" "1231094" 5 112 20 5 0 -0.974288 -0.111111 -1 0.998679 TRUE 46 -0.111111 -1 5 1 78.7056 42.3251 -23.387 22.9031988913184 54.3761214692599 -7.53397624631025 24.9643274979881 -2.46612908478731 2.13500323785242 -3.17826063000955 2.11442486154749 -2.293187886945 1.59595940681057 -0.0887352130803638 1.17781695770884 -2488.77910297976 33.547694580413 -18.749910542639 40.1608611963165
"4834" "1231094" 5 115 23 5 0 -0.797265 -0.111111 -1 0.921085 TRUE 46 -0.111111 -1 5 1 80.4296 47.993 -25.1041 27.7996819152589 56.4439941091377 -9.14115804565272 29.9304955945391 -2.56296995289375 1.26567558065626 -3.70448926194705 1.24346073113414 -2.74815261432689 1.79615338422139 -0.0610254140964283 2.14072085588816 -2593.86121388575 18.1114443731327 -21.7827733194049 25.2959826174111
"4842" "1231094" 5 123 31 5 0 -0.922961 -0.111111 -1 0.9882 TRUE 46 -0.111111 -1 5 1 77.3711 45.4001 -26.0416 26.0063068913037 53.9412372513551 -9.93826227047632 28.0277908796627 -2.45045477128716 -0.563198930002144 -3.8103452300487 -0.603422022327647 -2.58088076259822 1.89711222540857 -0.513510906514929 2.32023658639942 -2485.01856372496 -13.9722472997984 -23.0778535508855 -7.13191220742065
"4847" "1231094" 5 128 36 5 0 -1.04254 -0.111111 -1 0.996388 TRUE 46 -0.111111 -1 5 1 80.1122 51.8883 -30.2516 31.0050866483562 56.8934891680735 -12.5054357034311 33.1274367605687 -2.58848684662977 0.0866834134951086 -4.71960738939282 0.0277327773351603 -3.0458086081951 2.21464079936345 -0.561929525218678 3.86959787832659 -2603.33924309281 -5.86878618976588 -27.7414433181818 1.54672561172462
"4848" "1231094" 5 129 37 5 0 -1.09821 -0.111111 -1 0.980893 TRUE 46 -0.111111 -1 5 1 79.9731 47.9195 -28.0036 27.2801038465732 55.9930968327163 -10.360163948402 29.3788640790258 -2.5439191260961 -0.109202376878136 -4.04524996587347 -0.153338475793445 -2.69944902478557 1.94880929655525 -0.45270497043379 3.08274664570005 -2570.5169224716 -7.38305032857785 -24.0565997880293 -0.324861808031753
"4850" "1231094" 5 131 39 5 0 -0.932847 -0.111111 -1 0.991022 TRUE 46 -0.111111 -1 5 1 81.1669 47.885 -27.1956 27.3710453896779 56.6878168183798 -10.5266861843362 29.4998898748212 -2.57314924765915 -1.36890800084991 -3.71655395252983 -1.39672233288536 -2.70751077404187 1.97100419255735 -0.088271053494259 3.10437780054145 -2618.47657294669 -25.9513203578766 -21.8325405310887 -18.7549695060153
"4851" "1231094" 5 132 40 5 0 -0.741931 -0.111111 -1 0.875291 TRUE 46 -0.111111 -1 5 1 75.4831 48.8411 -28.1188 28.684629331082 53.380423338457 -11.5625679254344 30.664698976375 -2.42925418448131 -2.8311165379573 -4.49098370127692 -2.89408664749564 -2.82922725129159 2.10089372538084 -1.01130621076363 2.80112248410459 -2461.7775132792 -51.81761385646 -26.3448065017682 -44.8545537978053
"6622" "1231094" 6 143 5 6 0 -0.917047 0.111111 -1 0.986332 TRUE 46 0.111111 -1 6 1 78.7041 51.3386 -27.1585 29.9040649650494 55.0716737290039 -10.0498351356768 31.9709965673411 -2.50332591062999 0.432745479346081 -4.00647911401476 0.403296408154681 -2.94579064929347 1.90556161347788 -0.755051451753229 3.12568645273851 -2522.94536828517 -0.45737530220341 -23.9252034922238 6.69480539558921
"6628" "1231094" 6 149 11 6 0 -1.10532 0.111111 -1 0.978059 TRUE 46 0.111111 -1 6 1 79.8189 47.0098 -29.1668 27.1067699965117 55.9146462860775 -12.4347796853667 29.1926010605945 -2.54233301024024 0.0274081730834361 -4.5132312873913 -0.0416737214767542 -2.68560591392814 2.20196383031097 -0.241127261856322 3.25386597439948 -2570.60633892684 -4.83867866372149 -26.6869705747846 2.20383510783605
"6630" "1231094" 6 151 13 6 0 -0.986747 0.111111 -1 0.999649 TRUE 46 0.111111 -1 6 1 77.6256 45.7252 -25.6059 25.4708258904901 54.1912498802743 -9.27522312994613 27.5091396938541 -2.46007288933171 -0.494194899655422 -3.56117939288751 -0.523044520725911 -2.53337596134984 1.8105352582275 -0.329618148383335 1.77418387814438 -2469.96820657178 -10.6224364614446 -21.1580245040632 -3.86314470932289
"6634" "1231094" 6 155 17 6 0 -0.93175 0.111111 -1 0.990727 TRUE 46 0.111111 -1 6 1 76.9572 46.752 -25.9614 27.3273836059928 53.9618063201411 -9.94020510426075 29.3567059519093 -2.45143918388599 0.657271707301544 -3.81020175775069 0.625110704252273 -2.70631810347112 1.89171377483649 -0.474292588953805 1.95006302778924 -2481.12307904082 8.95220839468231 -22.2157964082826 15.8425233542887
"6635" "1231094" 6 156 18 6 0 -0.9851 0.111111 -1 0.999556 TRUE 46 0.111111 -1 6 1 75.4929 45.3043 -26.4535 25.8198009221659 52.8095102391411 -10.6566881264086 27.8004746849933 -2.40101411570189 1.88543157905948 -4.13441851437661 1.82994139949715 -2.56650944050418 1.97940142614311 -0.503411138586882 1.72321102443014 -2418.83098294052 26.3868639415824 -24.1535116173767 33.0488302802468
"6636" "1231094" 6 157 19 6 0 -1.00235 0.111111 -1 0.999989 TRUE 46 0.111111 -1 6 1 80.725 49.0391 -28.1666 28.5148201999246 56.9742416148537 -11.4591909734545 30.6486792788024 -2.58963950038895 0.65235202680679 -4.33174129453493 0.601209515964329 -2.8166927546698 2.0802436256179 -0.290500523139875 3.45902874763783 -2612.85840743948 8.47193456735752 -25.4202889214727 15.7202637037754
"6640" "1231094" 6 161 23 6 0 -0.967481 0.111111 -1 0.997887 TRUE 46 0.111111 -1 6 1 78.2604 50.1105 -28.0437 29.2609580961181 55.5424276390433 -11.4297534779249 31.3399190747932 -2.52611582350174 1.04959299572836 -4.4266992049769 0.997958019974956 -2.88619296342702 2.07601060874642 -0.529560932432962 2.83145602574942 -2539.99717214345 13.3649771330459 -26.3978436071053 20.4984499940247
"6647" "1231094" 6 168 30 6 0 -1.11192 0.111111 -1 0.975259 TRUE 46 0.111111 -1 6 1 78.2643 50.5799 -28.0675 29.6091444009107 55.0279003318585 -11.5666419894525 31.6706441172682 -2.50181009423961 0.332652039910772 -4.17474206814203 0.293845636505757 -2.9183377402091 2.09389452142014 -0.398139358417223 2.90008060099284 -2530.63312553902 -0.845467178931884 -24.5059071045162 6.30212547832807
